URA,1y1s,0,uracil,O=c1cc[nH]c(=O)[nH]1
XTS,2eg5,1,uracil,O=c1[nH]c(=O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1
ORO,1ovd,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
F2N,2ejr,0,uracil,Cc1cc2c(cc1C)N(C(=O)CCc1ccccc1)c1c([nH]c(=O)[nH]c1=O)N2CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
CRM,1kzl,0,uracil,O=C(O)CCc1nc2c(=O)[nH]c(=O)[nH]c2n(CC(O)C(O)C(O)CO)c1=O
ORO,3fjl,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
URA,2rj3,0,uracil,O=c1cc[nH]c(=O)[nH]1
PUG,2c9b,0,uracil,O=c1[nH]c(=O)c2[nH]c(=O)n(CC(O)C(O)C(O)CO)c2[nH]1
TDR,2hn9,0,uracil,Cc1c[nH]c(=O)[nH]c1=O
LUM,1s4m,0,uracil,Cc1cc2nc3[nH]c(=O)[nH]c(=O)c3nc2cc1C
FDA,1fnc,0,uracil,Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n3cnc4c(N)ncnc43)C(O)C1O)c1[nH]c(=O)[nH]c(=O)c1N2
T5P,1w19,0,uracil,O=c1[nH]c(=O)c2c([nH]1)n(CC(O)C(O)C(O)CO)c(=O)n2CCCOP(=O)(O)O
ORO,1d3h,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
INI,2f59,0,uracil,O=c1[nH]c(NCC(O)C(O)C(O)CO)c([N+](=O)[O-])c(=O)[nH]1
XMP,2vxo,0,uracil,O=c1[nH]c(=O)c2[nH+]cn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1
ORO,1jrb,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
ORO,2fpy,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
URF,1upf,0,uracil,O=c1[nH]cc(F)c(=O)[nH]1
RDL,1nqu,0,uracil,O=c1[nH]c(=O)c2[nH]c(=O)c(=O)n(CC(O)C(O)C(O)CO)c2[nH]1
TDR,2j0f,0,uracil,Cc1c[nH]c(=O)[nH]c1=O
ORO,1tv5,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
INI,1kyy,0,uracil,O=c1[nH]c(NCC(O)C(O)C(O)CO)c([N+](=O)[O-])c(=O)[nH]1
LMZ,1c2y,0,uracil,O=Nc1c(NCC(O)C(O)C(O)CO)[nH]c(=O)[nH]c1=O
IUR,1gte,0,uracil,O=c1[nH]cc(I)c(=O)[nH]1
INI,1t13,0,uracil,O=c1[nH]c(NCC(O)C(O)C(O)CO)c([N+](=O)[O-])c(=O)[nH]1
ORO,1d3g,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
XMP,1mei,0,uracil,O=c1[nH]c(=O)c2[nH+]cn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1
ORO,3g0u,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
